Date,Open,High,Low,Close,Adj Close,Volume
2006/8/12,,,,,1576.5,
2006/11/12,,,,,1584,
2006/12/12,,,,,1603.5,
6/13/12,,,,,1619.5,
6/14/12,,,,,1613.5,
6/15/12,,,,,1627.3,
6/18/12,,,,,1615.5,
6/19/12,,,,,1625.5,
6/20/12,,,,,1601,
6/21/12,,,,,1582,
6/22/12,,,,,1565.5,
6/25/12,,,,,1570,
6/26/12,,,,,1576,
6/27/12,,,,,1573.5,
6/28/12,,,,,1558.5,
6/29/12,,,,,1598.5,
2007/2/12,,,,,1592,
2007/3/12,,,,,1617.5,
2007/4/12,,,,,1613.5,
2007/5/12,,,,,1604,
2007/6/12,,,,,1587,
2007/9/12,,,,,1585,
2007/10/12,,,,,1595.3,
2007/11/12,,,,,1577,
2007/12/12,,,,,1556.3,
7/13/12,,,,,1595.5,
7/16/12,,,,,1589.8,
7/17/12,,,,,1585.3,
7/18/12,,,,,1575.3,
7/19/12,,,,,1584,
7/20/12,,,,,1576.3,
7/23/12,,,,,1572.3,
7/24/12,,,,,1583.3,
7/25/12,,,,,1601,
7/26/12,,,,,1618,
7/27/12,,,,,1618.3,
7/30/12,,,,,1617.8,
7/31/12,,,,,1622,
2008/1/12,,,,,1599,
2008/2/12,,,,,1597,
2008/3/12,,,,,1602,
2008/6/12,,,,,1610,
2008/7/12,,,,,1611,
2008/8/12,,,,,1613.3,
2008/9/12,,,,,1615,
2008/10/12,,,,,1618.5,
8/13/12,,,,,1622.5,
8/14/12,,,,,1597.8,
8/15/12,,,,,1601.8,
8/16/12,,,,,1604.5,
8/17/12,,,,,1614.8,
8/20/12,,,,,1615,
8/21/12,,,,,1639.5,
8/22/12,,,,,1642,
8/23/12,,,,,1665.3,
8/24/12,,,,,1667,
8/27/12,,,,,1667,
8/28/12,,,,,1668,
8/29/12,,,,,1660,
8/30/12,,,,,1660.5,
8/31/12,,,,,1648.5,
2009/3/12,,,,,1691.5,
2009/4/12,,,,,1697,
2009/5/12,,,,,1690,
2009/6/12,,,,,1701,
2009/7/12,,,,,1728,
2009/10/12,,,,,1732,
2009/11/12,,,,,1736.8,
2009/12/12,,,,,1737,
9/13/12,,,,,1733.3,
9/14/12,,,,,1775.5,
9/17/12,,,,,1770,
9/18/12,,,,,1769.5,
9/19/12,,,,,1766.8,
9/20/12,,,,,1758.5,
9/21/12,,,,,1784.5,
9/24/12,,,,,1762.5,
9/25/12,,,,,1771.5,
9/26/12,,,,,1744.8,
9/27/12,,,,,1763,
9/28/12,,,,,1776,
2010/1/12,,,,,1787,
2010/2/12,,,,,1775.5,
2010/3/12,,,,,1775.3,
2010/4/12,,,,,1791.8,
2010/5/12,,,,,1784,
2010/8/12,,,,,1773.5,
2010/9/12,,,,,1774,
2010/10/12,,,,,1761.3,
2010/11/12,,,,,1769,
2010/12/12,,,,,1766.8,
10/15/12,,,,,1736,
10/16/12,,,,,1746.5,
10/17/12,,,,,1749,
10/18/12,,,,,1743,
10/19/12,,,,,1737,
10/22/12,,,,,1726.8,
10/23/12,,,,,1711,
10/24/12,,,,,1706.5,
10/25/12,,,,,1715.5,
10/26/12,,,,,1716,
10/29/12,,,,,1707,
10/30/12,,,,,1710,
10/31/12,,,,,1719,
2011/1/12,,,,,1716.3,
2011/2/12,,,,,1685,
2011/5/12,,,,,1683.5,
2011/6/12,,,,,1691,
2011/7/12,,,,,1715.3,
2011/8/12,,,,,1717,
2011/9/12,,,,,1738.3,
2011/12/12,,,,,1735.3,
11/13/12,,,,,1726.3,
11/14/12,,,,,1725.8,
11/15/12,,,,,1710,
11/16/12,,,,,1713.5,
11/19/12,,,,,1730.5,
11/20/12,,,,,1732.3,
11/21/12,,,,,1724,
11/22/12,,,,,1731,
11/23/12,,,,,1734.5,
11/26/12,,,,,1750.5,
11/27/12,,,,,1746.3,
11/28/12,,,,,1708,
11/29/12,,,,,1725,
11/30/12,,,,,1726,
2012/3/12,,,,,1720,
2012/4/12,,,,,1697.8,
2012/5/12,,,,,1694,
2012/6/12,,,,,1694.3,
2012/7/12,,,,,1701.5,
2012/10/12,,,,,1712.5,
2012/11/12,,,,,1710,
2012/12/12,,,,,1716.3,
12/13/12,,,,,1692.8,
12/14/12,,,,,1696.3,
12/17/12,,,,,1695.8,
12/18/12,,,,,1694,
12/19/12,,,,,1665,
12/20/12,,,,,1650.5,
12/21/12,,,,,1651.5,
12/24/12,,,,,1651.5,
12/25/12,,,,,1651.5,
12/26/12,,,,,1651.5,
12/27/12,,,,,1655.5,
12/28/12,,,,,1657.5,
12/31/12,,,,,1657.5,
2001/1/13,,,,,1657.5,
2001/2/13,,,,,1693.8,
2001/3/13,,,,,1679.5,
2001/4/13,,,,,1648,
2001/7/13,,,,,1645.3,
2001/8/13,,,,,1656,
2001/9/13,,,,,1657.8,
2001/10/13,,,,,1675,
2001/11/13,,,,,1657.5,
1/14/13,,,,,1666.5,
1/15/13,,,,,1680.5,
1/16/13,,,,,1676.3,
1/17/13,,,,,1675,
1/18/13,,,,,1688.5,
1/21/13,,,,,1687.5,
1/22/13,,,,,1690.5,
1/23/13,,,,,1690.3,
1/24/13,,,,,1671,
1/25/13,,,,,1660,
1/28/13,,,,,1656.5,
1/29/13,,,,,1663.5,
1/30/13,,,,,1677.5,
1/31/13,,,,,1664.8,
2002/1/13,,,,,1669,
2002/4/13,,,,,1666,
2002/5/13,,,,,1673.5,
2002/6/13,,,,,1674.3,
2002/7/13,,,,,1668,
2002/8/13,,,,,1668.3,
2002/11/13,,,,,1652,
2002/12/13,,,,,1647.5,
2/13/13,,,,,1645,
2/14/13,,,,,1646,
2/15/13,,,,,1612.3,
2/18/13,,,,,1610.8,
2/19/13,,,,,1607.8,
2/20/13,,,,,1588.5,
2/21/13,,,,,1577,
2/22/13,,,,,1576.5,
2/25/13,,,,,1586.3,
2/26/13,,,,,1590.5,
2/27/13,,,,,1604.3,
2/28/13,,,,,1588.5,
2003/1/13,,,,,1582.3,
2003/4/13,,,,,1574.3,
2003/5/13,,,,,1579.8,
2003/6/13,,,,,1574,
2003/7/13,,,,,1579.5,
2003/8/13,,,,,1581.8,
2003/11/13,,,,,1579,
2003/12/13,,,,,1594,
3/13/13,,,,,1589.3,
3/14/13,,,,,1586,
3/15/13,,,,,1595.5,
3/18/13,,,,,1603.8,
3/19/13,,,,,1610.8,
3/20/13,,,,,1607.5,
3/21/13,,,,,1613.8,
3/22/13,,,,,1607.8,
3/25/13,,,,,1599.3,
3/26/13,,,,,1598,
3/27/13,,,,,1603,
3/28/13,,,,,1598.3,
3/29/13,,,,,1598.3,
2004/1/13,,,,,1598.3,
2004/2/13,,,,,1583.5,
2004/3/13,,,,,1574.8,
2004/4/13,,,,,1546.5,
2004/5/13,,,,,1568,
2004/8/13,,,,,1575,
2004/9/13,,,,,1577.3,
2004/10/13,,,,,1575,
2004/11/13,,,,,1565,
2004/12/13,,,,,1535.5,
4/15/13,,,,,1395,
4/16/13,,,,,1380,
4/17/13,,,,,1392,
4/18/13,,,,,1393.8,
4/19/13,,,,,1405.5,
4/22/13,,,,,1424.5,
4/23/13,,,,,1408,
4/24/13,,,,,1428.5,
4/25/13,,,,,1451,
4/26/13,,,,,1471.5,
4/29/13,,,,,1467.5,
4/30/13,,,,,1469,
2005/1/13,,,,,1454.8,
2005/2/13,,,,,1469.3,
2005/3/13,,,,,1469.3,
2005/6/13,,,,,1469.3,
2005/7/13,,,,,1444.3,
2005/8/13,,,,,1468,
2005/9/13,,,,,1465.5,
2005/10/13,,,,,1426.5,
5/13/13,,,,,1430.8,
5/14/13,,,,,1433.8,
5/15/13,,,,,1410,
5/16/13,,,,,1381,
5/17/13,,,,,1368.8,
5/20/13,,,,,1354.8,
5/21/13,,,,,1360.8,
5/22/13,,,,,1408.5,
5/23/13,,,,,1380.5,
5/24/13,,,,,1390.3,
5/27/13,,,,,1390.3,
5/28/13,,,,,1376.5,
5/29/13,,,,,1382.5,
5/30/13,,,,,1413.5,
5/31/13,,,,,1394.5,
2006/3/13,,,,,1402.5,
2006/4/13,,,,,1399.5,
2006/5/13,,,,,1404,
2006/6/13,,,,,1400,
2006/7/13,,,,,1386,
2006/10/13,,,,,1383.3,
2006/11/13,,,,,1374.3,
2006/12/13,,,,,1382.8,
6/13/13,,,,,1385,
6/14/13,,,,,1391.3,
6/17/13,,,,,1384.8,
6/18/13,,,,,1366.8,
6/19/13,,,,,1372.8,
6/20/13,,,,,1292.5,
6/21/13,,,,,1295.3,
6/24/13,,,,,1286.8,
6/25/13,,,,,1279,
6/26/13,,,,,1236.3,
6/27/13,,,,,1232.8,
6/28/13,,,,,1192,
2007/1/13,,,,,1242.8,
2007/2/13,,,,,1252.5,
2007/3/13,,,,,1250,
2007/4/13,,,,,1251.8,
2007/5/13,,,,,1212.8,
2007/8/13,,,,,1235.3,
2007/9/13,,,,,1255.5,
2007/10/13,,,,,1256,
2007/11/13,,,,,1285,
2007/12/13,,,,,1279.8,
7/15/13,,,,,1284.8,
7/16/13,,,,,1291.5,
7/17/13,,,,,1297.3,
7/18/13,,,,,1283.3,
7/19/13,,,,,1295.8,
7/22/13,,,,,1327,
7/23/13,,,,,1333.5,
7/24/13,,,,,1335,
7/25/13,,,,,1326,
7/26/13,,,,,1331,
7/29/13,,,,,1329.8,
7/30/13,,,,,1324.2,
7/31/13,,,,,1314.5,
2008/1/13,,,,,1315,
2008/2/13,,,,,1309.3,
2008/5/13,,,,,1304.8,
2008/6/13,,,,,1280.5,
2008/7/13,,,,,1282.5,
2008/8/13,,,,,1298.3,
2008/9/13,,,,,1309,
2008/12/13,,,,,1341,
8/13/13,,,,,1328.5,
8/14/13,,,,,1326.5,
8/15/13,,,,,1329.8,
8/16/13,,,,,1369.3,
8/19/13,,,,,1365,
8/20/13,,,,,1372.5,
8/21/13,,,,,1363,
8/22/13,,,,,1375.5,
8/23/13,,,,,1377.5,
8/26/13,,,,,1377.5,
8/27/13,,,,,1419.3,
8/28/13,,,,,1419.5,
8/29/13,,,,,1407.8,
8/30/13,,,,,1394.8,
2009/2/13,,,,,1392.3,
2009/3/13,,,,,1399.5,
2009/4/13,,,,,1390,
2009/5/13,,,,,1385,
2009/6/13,,,,,1387,
2009/9/13,,,,,1390,
2009/10/13,,,,,1358.3,
2009/11/13,,,,,1363.8,
2009/12/13,,,,,1328,
9/13/13,,,,,1318.5,
9/16/13,,,,,1324,
9/17/13,,,,,1312.3,
9/18/13,,,,,1301,
9/19/13,,,,,1365.5,
9/20/13,,,,,1349.3,
9/23/13,,,,,1323,
9/24/13,,,,,1314.3,
9/25/13,,,,,1322.8,
9/26/13,,,,,1333,
9/27/13,,,,,1341,
9/30/13,,,,,1326.5,
2010/1/13,,,,,1290.8,
2010/2/13,,,,,1306.3,
2010/3/13,,,,,1316,
2010/4/13,,,,,1309.8,
